,C++,Perl,C,Python,Java,Go,Emacs Lisp,Racket,R,Julia,Rust,Haskell,Ruby,TypeScript,Scheme,Shell,PowerShell,Clojure,OCaml,Standard ML
C++,1.0,0.37096775,0.8727273,0.6,0.8064516,0.5833333,0.34545454,0.42857143,0.26785713,0.5,0.453125,0.27272728,0.47368422,0.5285714,0.42857143,0.45901638,0.46376812,0.3272727,0.375,0.3392857
Perl,0.37096775,1.0,0.4181818,0.45652175,0.36231884,0.43396226,0.3809524,0.3488372,0.23684211,0.34375,0.3469388,0.3783784,0.36842105,0.3243243,0.3488372,0.55813956,0.61538464,0.36585367,0.36585367,0.4054054
C,0.8727273,0.4181818,1.0,0.6666667,0.7580645,0.6481481,0.34615386,0.43396226,0.27450982,0.5081967,0.50877196,0.3125,0.52,0.53731346,0.43396226,0.5185185,0.46969697,0.33333334,0.34615386,0.38
Python,0.6,0.45652175,0.6666667,1.0,0.516129,0.62222224,0.5,0.5365854,0.31707317,0.5,0.509434,0.41666666,0.7,0.47058824,0.5365854,0.5555556,0.45614034,0.47368422,0.425,0.4864865
Java,0.8064516,0.36231884,0.7580645,0.516129,1.0,0.546875,0.29032257,0.36507937,0.26984128,0.4857143,0.4225352,0.24193548,0.40625,0.5263158,0.36507937,0.42647058,0.45333335,0.27419356,0.33870968,0.31746033
Go,0.5833333,0.43396226,0.6481481,0.62222224,0.546875,1.0,0.38,0.42,0.27659574,0.5344828,0.6111111,0.33333334,0.5,0.5797101,0.42,0.4716981,0.47619048,0.3469388,0.33333334,0.45652175
Emacs Lisp,0.34545454,0.3809524,0.34615386,0.5,0.29032257,0.38,1.0,0.7647059,0.23529412,0.32258064,0.3846154,0.5151515,0.5555556,0.2857143,0.7647059,0.38297874,0.32142857,0.90625,0.54285717,0.6764706
Racket,0.42857143,0.3488372,0.43396226,0.5365854,0.36507937,0.42,0.7647059,1.0,0.29411766,0.36666667,0.4181818,0.4117647,0.6052632,0.3188406,1.0,0.35416666,0.3272727,0.7352941,0.4857143,0.5
R,0.26785713,0.23684211,0.27450982,0.31707317,0.26984128,0.27659574,0.23529412,0.29411766,1.0,0.2542373,0.22916667,0.25925925,0.35135135,0.22058824,0.29411766,0.2631579,0.21153846,0.21875,0.2580645,0.3125
Julia,0.5,0.34375,0.5081967,0.5,0.4857143,0.53333336,0.32258064,0.36666667,0.2542373,1.0,0.46031746,0.2542373,0.4827586,0.73913044,0.36666667,0.34920636,0.44285715,0.27586207,0.29508197,0.3559322
Rust,0.453125,0.3469388,0.50877196,0.509434,0.4225352,0.6111111,0.3846154,0.4181818,0.22916667,0.46031746,1.0,0.33333334,0.53846157,0.52238804,0.4181818,0.40384614,0.35714287,0.3529412,0.3207547,0.42857143
Haskell,0.27272728,0.3783784,0.3125,0.41666666,0.24193548,0.33333334,0.5151515,0.4117647,0.25925925,0.2542373,0.33333334,1.0,0.45454547,0.2238806,0.4117647,0.39473686,0.28846154,0.53125,0.71428573,0.7407407
Ruby,0.47368422,0.36842105,0.52,0.7,0.40625,0.5,0.5555556,0.6052632,0.35135135,0.4827586,0.53846157,0.45454547,1.0,0.36231884,0.6052632,0.4090909,0.3392857,0.5294118,0.45945945,0.54545456
TypeScript,0.5285714,0.3243243,0.53731346,0.47058824,0.5263158,0.5797101,0.2857143,0.3188406,0.22058824,0.73913044,0.52238804,0.2238806,0.36231884,1.0,0.3188406,0.3561644,0.4375,0.25373134,0.26086956,0.31343284
Scheme,0.42857143,0.3488372,0.43396226,0.5365854,0.36507937,0.42,0.7647059,1.0,0.29411766,0.36666667,0.4181818,0.4117647,0.6052632,0.3188406,1.0,0.35416666,0.3272727,0.7352941,0.4857143,0.5
Shell,0.45901638,0.55813956,0.5185185,0.5555556,0.42647058,0.4716981,0.38297874,0.35416666,0.2631579,0.34920636,0.40384614,0.39473686,0.4090909,0.3561644,0.35416666,1.0,0.537037,0.37777779,0.32608697,0.3488372
PowerShell,0.46376812,0.61538464,0.46969697,0.45614034,0.45333335,0.47619048,0.32142857,0.3272727,0.21153846,0.44285715,0.35714287,0.28846154,0.3392857,0.4375,0.3272727,0.537037,1.0,0.3018868,0.33333334,0.35849056
Clojure,0.3272727,0.36585367,0.33333334,0.47368422,0.27419356,0.3469388,0.90625,0.7352941,0.21875,0.27586207,0.3529412,0.53125,0.5294118,0.25373134,0.7352941,0.37777779,0.3018868,1.0,0.54285717,0.5882353
OCaml,0.375,0.36585367,0.34615386,0.425,0.33870968,0.33333334,0.54285717,0.4857143,0.2580645,0.29508197,0.3207547,0.71428573,0.45945945,0.26086956,0.4857143,0.32608697,0.33333334,0.54285717,1.0,0.67741936
Standard ML,0.3392857,0.4054054,0.38,0.4864865,0.31746033,0.45652175,0.6764706,0.5,0.3125,0.3559322,0.42857143,0.7407407,0.54545456,0.31343284,0.5,0.3488372,0.35849056,0.5882353,0.67741936,1.0
